Date,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,SnowDepth
2017-11-01,50.72857142857142,44.128571428571426,57.61428571428571,34.75,0.0071428571428571435,3.8285714285714283,11.58,39.0,
2017-11-02,62.971428571428575,50.92857142857143,71.74285714285715,57.474999999999994,0.5714285714285714,4.042857142857143,12.18,28.666666666666668,
2017-11-03,65.67142857142858,59.199999999999996,73.45714285714284,59.075,0.014285714285714287,4.785714285714286,14.38,22.733333333333334,
2017-11-04,52.91428571428572,47.58571428571429,66.6,37.95,0.0,5.928571428571429,16.18,20.8,
2017-11-05,55.2,49.02857142857143,60.98571428571429,50.5,0.012857142857142857,4.628571428571428,9.84,17.1,
2017-11-06,62.271428571428565,55.228571428571435,66.07142857142857,59.125,0.017142857142857144,4.971428571428571,13.419999999999998,24.05,
2017-11-07,47.81428571428571,42.08571428571428,62.62857142857143,37.85,0.004285714285714286,6.428571428571429,15.2,19.95,
2017-11-08,43.84285714285714,40.68571428571429,49.89999999999999,37.925000000000004,0.3071428571428571,6.457142857142857,14.580000000000002,26.05,
2017-11-09,47.51428571428572,40.800000000000004,54.699999999999996,38.725,0.004285714285714286,3.4857142857142853,8.2,27.0,
2017-11-10,43.614285714285714,30.957142857142856,55.07142857142856,28.875,0.002857142857142857,9.042857142857143,21.419999999999998,31.299999999999997,
2017-11-11,30.499999999999996,25.328571428571426,42.02857142857143,12.375,0.01,6.214285714285714,17.2,21.5,
2017-11-12,38.48571428571428,28.52857142857143,47.1,20.15,0.0,2.3857142857142857,7.56,36.9,
2017-11-13,44.54285714285714,36.82857142857143,48.114285714285714,35.075,0.005714285714285714,3.8857142857142857,10.78,14.0,
2017-11-14,42.32857142857142,37.685714285714276,47.72857142857142,33.9,0.025714285714285717,4.971428571428572,10.98,33.0,
2017-11-15,43.84285714285715,37.84285714285714,50.385714285714286,33.85,0.0,4.485714285714286,9.559999999999999,,
2017-11-16,51.82857142857143,42.142857142857146,57.37142857142857,42.625,0.13142857142857142,6.528571428571428,18.160000000000004,31.725,
2017-11-17,44.800000000000004,40.614285714285714,54.34285714285715,27.450000000000003,0.037142857142857144,9.214285714285714,18.78,35.325,
2017-11-18,43.375,34.25,52.55,27.625,0.0375,6.25,13.5,21.3,
2017-11-19,51.642857142857146,41.857142857142854,56.91428571428572,42.8,0.1742857142857143,10.357142857142858,25.639999999999997,35.75,
2017-11-20,42.528571428571425,37.285714285714285,53.814285714285724,26.150000000000002,0.014285714285714287,8.0,16.68,26.775,
2017-11-21,47.91428571428572,38.91428571428572,58.34285714285714,30.85,0.02428571428571429,7.314285714285715,14.98,22.75,
2017-11-22,51.07142857142857,42.271428571428565,56.5,42.125,0.025714285714285714,5.171428571428572,18.22,28.066666666666666,
2017-11-23,37.82857142857143,32.58571428571428,50.528571428571425,21.5,0.09857142857142857,5.871428571428572,17.020000000000003,27.0,
2017-11-24,41.2,33.55714285714286,50.81428571428571,23.9,0.0,3.7857142857142856,9.4,15.0,
2017-11-25,47.142857142857146,37.08571428571429,56.714285714285715,33.75,0.0,4.771428571428571,11.24,20.033333333333335,
2017-11-26,48.6,42.1,56.25714285714285,30.775,0.0,6.757142857142858,16.8,28.066666666666666,
2017-11-27,44.37142857142857,39.87142857142857,52.5,25.9,0.0014285714285714286,7.171428571428571,16.619999999999997,26.525,
2017-11-28,43.771428571428565,36.08571428571428,53.1,29.775,0.0014285714285714286,4.714285714285714,11.82,15.700000000000001,
2017-11-29,53.22857142857142,41.12857142857143,63.385714285714286,39.15,0.0,6.985714285714286,16.580000000000002,28.775,
2017-11-30,44.542857142857144,38.94285714285714,58.65714285714285,30.375,0.03142857142857143,4.185714285714286,11.6,28.55,
2017-12-01,49.48571428571428,41.699999999999996,53.114285714285714,38.825,0.014285714285714287,5.114285714285714,11.8,23.933333333333334,
2017-12-02,43.75714285714286,38.98571428571428,50.2,30.65,0.0014285714285714286,3.3857142857142852,9.98,46.0,
2017-12-03,45.12857142857143,41.228571428571435,48.5,36.7,0.0014285714285714286,2.6714285714285717,6.44,,
2017-12-04,44.75714285714286,39.042857142857144,51.1,39.175000000000004,0.0,2.4857142857142853,8.16,,
2017-12-05,53.542857142857144,43.31428571428571,59.9,46.525000000000006,0.0014285714285714286,7.314285714285714,18.619999999999997,29.275,
2017-12-06,49.285714285714285,40.9,59.057142857142864,35.825,0.35571428571428576,8.0,20.24,28.700000000000003,
2017-12-07,41.57142857142857,37.75714285714286,51.98571428571428,21.200000000000003,0.0071428571428571435,8.22857142857143,18.6,30.2,
2017-12-08,38.11428571428571,34.957142857142856,44.24285714285714,20.575000000000003,0.0,5.071428571428571,12.0,25.975,
2017-12-09,34.72857142857142,31.02857142857143,38.357142857142854,22.775,0.004285714285714286,4.514285714285714,12.0,17.95,3.5
