Date,call_count
2017-02-20,5084.0
2017-02-21,7035.0
2017-02-22,6620.0
2017-02-23,6608.0
2017-02-24,6506.0
2017-02-25,5015.0
2017-02-26,4996.0
2017-02-27,6920.0
2017-02-28,6501.0
2017-03-01,5940.0
2017-03-02,7281.0
2017-03-03,7075.0
2017-03-04,6098.0
2017-03-05,5924.0
2017-03-06,6976.0
2017-03-07,6304.0
2017-03-08,6569.0
2017-03-09,5936.0
2017-03-10,6184.0
2017-03-11,5597.0
2017-03-12,5657.0
2017-03-13,7368.0
2017-03-14,5377.0
2017-03-15,10512.0
2017-03-16,9404.0
2017-03-17,7213.0
2017-03-18,5152.0
2017-03-19,5143.0
2017-03-20,7212.0
2017-03-21,6984.0
2017-03-22,7063.0
2017-03-23,5704.0
2017-03-24,6362.0
2017-03-25,5288.0
2017-03-26,4854.0
2017-03-27,7098.0
2017-03-28,6864.0
2017-03-29,6641.0
2017-03-30,6773.0
2017-03-31,6659.0
2017-04-01,5340.0
2017-04-02,5345.0
2017-04-03,7717.0
2017-04-04,7303.0
2017-04-05,7192.0
2017-04-06,6906.0
2017-04-07,6741.0
2017-04-08,5279.0
2017-04-09,4955.0
2017-04-10,7472.0
2017-04-11,7235.0
2017-04-12,6818.0
2017-04-13,6371.0
2017-04-14,5708.0
2017-04-15,4850.0
2017-04-16,5294.0
2017-04-17,7006.0
2017-04-18,6564.0
2017-04-19,7163.0
2017-04-20,6811.0
2017-04-21,6569.0
2017-04-22,5483.0
2017-04-23,5342.0
2017-04-24,7288.0
2017-04-25,6506.0
2017-04-26,7195.0
2017-04-27,6466.0
2017-04-28,7344.0
2017-04-29,6735.0
2017-04-30,5660.0
2017-05-01,7299.0
2017-05-02,7376.0
2017-05-03,7008.0
2017-05-04,7058.0
2017-05-05,7820.0
2017-05-06,5510.0
2017-05-07,5403.0
2017-05-08,7780.0
2017-05-09,7333.0
2017-05-10,6987.0
2017-05-11,7108.0
2017-05-12,6753.0
2017-05-13,5170.0
2017-05-14,5122.0
2017-05-15,7676.0
2017-05-16,7441.0
2017-05-17,7740.0
2017-05-18,7344.0
2017-05-19,7198.0
2017-05-20,5446.0
2017-05-21,5489.0
2017-05-22,6726.0
2017-05-23,7410.0
2017-05-24,7123.0
2017-05-25,6218.0
2017-05-26,4784.0
2017-05-27,6556.0
2017-05-28,6059.0
2017-05-29,4482.0
2017-05-30,7292.0
2017-05-31,7353.0
2017-06-01,7185.0
2017-06-02,7341.0
2017-06-03,6771.0
2017-06-04,6570.0
2017-06-05,7122.0
2017-06-06,6473.0
2017-06-07,6863.0
2017-06-08,7124.0
2017-06-09,7094.0
2017-06-10,6662.0
2017-06-11,6279.0
2017-06-12,7996.0
2017-06-13,8434.0
2017-06-14,7795.0
2017-06-15,7440.0
2017-06-16,6844.0
2017-06-17,6058.0
2017-06-18,6606.0
2017-06-19,8166.0
2017-06-20,7439.0
2017-06-21,7674.0
2017-06-22,7466.0
2017-06-23,6635.0
2017-06-24,6286.0
2017-06-25,6373.0
2017-06-26,7824.0
2017-06-27,7443.0
2017-06-28,7382.0
2017-06-29,7483.0
2017-06-30,6799.0
2017-07-01,5180.0
2017-07-02,5357.0
2017-07-03,6523.0
2017-07-04,5347.0
2017-07-05,7647.0
2017-07-06,7190.0
2017-07-07,7095.0
2017-07-08,5515.0
2017-07-09,6114.0
2017-07-10,7709.0
2017-07-11,6623.0
2017-07-12,8010.0
2017-07-13,6784.0
2017-07-14,6171.0
2017-07-15,5893.0
2017-07-16,5869.0
2017-07-17,7597.0
2017-07-18,6627.0
2017-07-19,7880.0
2017-07-20,7524.0
2017-07-21,7109.0
2017-07-22,5547.0
2017-07-23,4988.0
2017-07-24,7354.0
2017-07-25,7347.0
2017-07-26,7048.0
2017-07-27,7264.0
2017-07-28,6633.0
2017-07-29,5981.0
2017-07-30,6422.0
2017-07-31,7084.0
2017-08-01,6787.0
2017-08-02,6613.0
2017-08-03,6750.0
2017-08-04,6516.0
2017-08-05,5547.0
2017-08-06,5649.0
2017-08-07,6662.0
2017-08-08,6409.0
2017-08-09,7595.0
2017-08-10,6970.0
2017-08-11,6533.0
2017-08-12,5350.0
2017-08-13,5544.0
2017-08-14,7329.0
2017-08-15,6459.0
2017-08-16,6752.0
2017-08-17,7048.0
2017-08-18,6436.0
2017-08-19,5391.0
2017-08-20,5550.0
2017-08-21,6843.0
2017-08-22,6588.0
2017-08-23,6713.0
2017-08-24,6549.0
2017-08-25,6241.0
2017-08-26,5748.0
2017-08-27,5719.0
2017-08-28,6767.0
2017-08-29,6000.0
2017-08-30,6947.0
2017-08-31,6770.0
2017-09-01,6446.0
2017-09-02,4850.0
2017-09-03,5123.0
2017-09-04,5833.0
2017-09-05,7533.0
2017-09-06,6729.0
2017-09-07,7528.0
2017-09-08,7656.0
2017-09-09,6357.0
2017-09-10,5721.0
2017-09-11,7667.0
2017-09-12,7593.0
2017-09-13,7148.0
2017-09-14,7355.0
2017-09-15,7610.0
2017-09-16,6324.0
2017-09-17,5823.0
2017-09-18,7614.0
2017-09-19,7293.0
2017-09-20,7142.0
2017-09-21,6831.0
2017-09-22,7084.0
2017-09-23,6156.0
2017-09-24,5584.0
2017-09-25,7702.0
2017-09-26,7868.0
2017-09-27,7605.0
2017-09-28,7425.0
2017-09-29,7384.0
2017-09-30,5563.0
2017-10-01,5666.0
2017-10-02,7676.0
2017-10-03,7568.0
2017-10-04,7771.0
2017-10-05,6648.0
2017-10-06,6823.0
2017-10-07,5703.0
2017-10-08,4845.0
2017-10-09,4902.0
2017-10-10,7744.0
2017-10-11,7469.0
2017-10-12,6749.0
2017-10-13,7036.0
2017-10-14,5899.0
2017-10-15,5514.0
2017-10-16,7360.0
2017-10-17,8174.0
2017-10-18,7218.0
2017-10-19,7322.0
2017-10-20,7279.0
2017-10-21,6041.0
2017-10-22,5419.0
2017-10-23,7751.0
2017-10-24,7535.0
2017-10-25,7108.0
2017-10-26,7518.0
2017-10-27,7738.0
2017-10-28,6544.0
2017-10-29,5884.0
2017-10-30,9188.0
2017-10-31,8829.0
2017-11-01,8554.0
2017-11-02,7750.0
2017-11-03,7432.0
2017-11-04,6506.0
2017-11-05,5397.0
2017-11-06,7551.0
2017-11-07,7964.0
2017-11-08,8631.0
2017-11-09,8557.0
2017-11-10,8148.0
2017-11-11,7685.0
2017-11-12,6169.0
2017-11-13,8051.0
2017-11-14,8540.0
2017-11-15,7923.0
2017-11-16,7783.0
2017-11-17,7892.0
2017-11-18,5809.0
2017-11-19,5506.0
2017-11-20,7996.0
2017-11-21,7199.0
2017-11-22,6079.0
2017-11-23,4183.0
2017-11-24,5409.0
2017-11-25,4876.0
2017-11-26,5201.0
2017-11-27,7579.0
2017-11-28,7774.0
2017-11-29,7421.0
2017-11-30,7723.0
2017-12-01,7150.0
2017-12-02,5727.0
2017-12-03,5156.0
2017-12-04,7506.0
2017-12-05,7360.0
2017-12-06,7543.0
2017-12-07,7885.0
2017-12-08,7647.0
2017-12-09,5450.0
2017-12-10,5087.0
2017-12-11,7502.0
2017-12-12,7588.0
2017-12-13,9002.0
2017-12-14,7974.0
2017-12-15,7949.0
2017-12-16,6476.0
2017-12-17,5554.0
2017-12-18,7522.0
2017-12-19,7326.0
2017-12-20,6817.0
2017-12-21,6993.0
2017-12-22,6033.0
2017-12-23,4321.0
2017-12-24,4007.0
2017-12-25,4148.0
2017-12-26,8143.0
2017-12-27,8493.0
2017-12-28,10963.0
2017-12-29,9898.0
2017-12-30,6821.0
2017-12-31,6174.0
2018-01-01,9283.0
2018-01-02,11485.0
2018-01-03,9534.0
2018-01-04,7866.0
2018-01-05,11221.0
2018-01-06,10666.0
2018-01-07,9555.0
2018-01-08,11009.0
2018-01-09,9519.0
2018-01-10,8374.0
2018-01-11,7828.0
2018-01-12,7935.0
2018-01-13,6418.0
2018-01-14,6518.0
2018-01-15,7495.0
2018-01-16,8744.0
2018-01-17,8079.0
2018-01-18,8330.0
2018-01-19,7901.0
2018-01-20,5812.0
2018-01-21,5441.0
2018-01-22,8138.0
2018-01-23,7665.0
2018-01-24,7655.0
2018-01-25,7981.0
2018-01-26,7535.0
2018-01-27,5775.0
2018-01-28,5131.0
2018-01-29,7763.0
2018-01-30,7477.0
2018-01-31,7736.0
2018-02-01,7577.0
2018-02-02,7601.0
2018-02-03,6174.0
2018-02-04,5058.0
2018-02-05,7395.0
2018-02-06,7871.0
2018-02-07,7301.0
2018-02-08,7756.0
2018-02-09,7130.0
2018-02-10,6192.0
2018-02-11,5263.0
2018-02-12,7689.0
2018-02-13,7745.0
2018-02-14,6849.0
2018-02-15,7078.0
2018-02-16,6581.0
2018-02-17,5292.0
2018-02-18,4618.0
2018-02-19,5419.0
2018-02-20,7854.0
2018-02-21,7335.0
2018-02-22,6930.0
2018-02-23,6873.0
2018-02-24,5607.0
2018-02-25,5375.0
2018-02-26,7856.0
2018-02-27,7694.0
2018-02-28,7825.0
2018-03-01,7279.0
2018-03-02,8866.0
2018-03-03,7224.0
2018-03-04,6096.0
2018-03-05,8518.0
2018-03-06,7655.0
2018-03-07,7393.0
2018-03-08,7996.0
2018-03-09,7485.0
2018-03-10,5602.0
2018-03-11,5265.0
2018-03-12,8042.0
2018-03-13,7209.0
2018-03-14,8147.0
2018-03-15,7873.0
2018-03-16,7720.0
2018-03-17,5892.0
2018-03-18,5627.0
2018-03-19,8171.0
2018-03-20,7647.0
2018-03-21,6058.0
2018-03-22,7586.0
2018-03-23,6907.0
2018-03-24,5478.0
2018-03-25,5797.0
2018-03-26,8099.0
2018-03-27,7998.0
2018-03-28,7461.0
2018-03-29,7103.0
2018-03-30,6294.0
2018-03-31,5660.0
2018-04-01,4711.0
2018-04-02,6946.0
2018-04-03,7162.0
2018-04-04,7335.0
2018-04-05,7371.0
2018-04-06,6525.0
2018-04-07,5642.0
2018-04-08,5292.0
2018-04-09,7808.0
2018-04-10,7652.0
2018-04-11,7178.0
2018-04-12,7121.0
2018-04-13,7725.0
2018-04-14,6205.0
2018-04-15,5758.0
2018-04-16,9621.0
2018-04-17,7721.0
2018-04-18,7876.0
2018-04-19,7438.0
2018-04-20,6891.0
2018-04-21,5698.0
2018-04-22,5773.0
2018-04-23,8110.0
2018-04-24,7753.0
2018-04-25,7392.0
2018-04-26,7807.0
2018-04-27,6893.0
2018-04-28,5852.0
2018-04-29,5939.0
2018-04-30,7907.0
2018-05-01,8241.0
2018-05-02,8231.0
2018-05-03,8182.0
2018-05-04,7858.0
2018-05-05,6419.0
2018-05-06,5853.0
2018-05-07,7995.0
2018-05-08,7756.0
2018-05-09,7712.0
2018-05-10,7450.0
2018-05-11,7705.0
2018-05-12,5669.0
2018-05-13,4905.0
2018-05-14,7673.0
2018-05-15,7947.0
2018-05-16,7736.0
